item_length,item_width
6.206380420694,5.61828631857641
5.75664906035643,5.92192391702983
5.57632878952769,5.79240097307032
5.30494979018467,7.23500036569745
6.76406408651964,5.96579206252491
5.66883797755511,5.70825694373248
6.24127765750613,6.53310445226524
5.95163213495406,6.50375031846709
7.19213188368567,6.24985467176819
5.99955064862144,7.66059793102405
6.4591189783159,4.94473341515434
6.10394762845826,5.90473616548971
6.10869851627979,5.09529594288112
7.6280573604934,4.82283947838104
5.20099317297799,5.05545444067317
6.21398932761765,6.11852188934903
4.99631769244268,6.20424423967963
6.67871261580233,5.49543738577327
7.77000069240595,4.53712941857798
7.23034866310919,6.00281280173532
5.50636059211041,5.90182273941075
4.59208465425897,6.42566310071054
6.49554358903168,6.2339976614275
7.66692761372166,6.89607374875937
4.47669304407772,6.66069812421983
7.8982379898872,6.3430432182783
7.07441711027894,7.89811378554095
6.39097892977283,6.52025240414522
6.65373026455605,4.09819636231857
6.03791254019678,5.70870922456301
7.13059180192732,4.8180612174954
5.50156023471192,4.54480651605387
5.16986408322986,5.72997727145106
5.39378392256616,6.14635294835455
5.39416907261546,4.15316450515022
5.76258113277512,6.41474788995605
6.23670034768921,5.5055115417078
5.77341710303808,6.09455931758003
6.50471331917972,5.77931966798671
6.06352218428045,6.93093857381725
5.55284715024624,5.67951683889493
6.92343366263226,6.1162849607891
5.21748947554813,7.6745144300021
7.19041226366052,5.62298220700809
5.21463972974466,5.15192652140496
7.03707331867399,6.74456453380855
5.49612366262026,6.11381554024983
6.85822468967786,5.25705245874073
5.07859572675795,5.78419664697239
4.93709828243424,6.000735735266
6.03132274035233,4.86637300103833
6.15696402156038,4.79046920560058
5.52729385062514,6.45208773230177
5.52573081316551,5.78824500629153
4.62078518873915,6.92997294750434
6.1207432025914,6.78055122054506
4.68931546552535,5.55106554757088
6.20452327373261,6.98147445810066
6.60702249597283,6.2101600107169
7.35381636474547,7.46109608749406
5.70624634304698,7.92986336877689
6.01827229086653,7.19006516587746
6.25842333470852,5.82535580500794
6.03529980115248,6.09093742795271
6.70772502940433,5.87327626712053
6.00615894055928,6.02720338419791
5.53450188042925,5.35712355300938
6.04835486227882,5.18802026763411
6.05685251120499,4.65311066581408
5.51554280403605,5.77216612746548
5.33706363963265,5.4476376057638
5.46811044937202,6.41330563230252
5.10331407670123,4.89321864023776
5.13493814002712,5.63068982384745
4.87053909865257,6.16017251031241
6.63970819568495,5.79122364061982
5.18063990461067,4.77970443886423
7.30597198036227,6.42328888047888
5.70870858285562,4.83717074449815
5.25856384606009,5.92568181334061
3.72037167523699,5.83737516105977
4.86454245288728,4.99452785656613
6.80795007139991,6.39510605841864
4.78519682192023,6.33072460188874
7.19189396013807,6.44718691512809
6.61481174353178,6.62022430435137
6.54195851550732,5.24657067392486
5.63831867773519,6.76756200562704
7.57304722458842,5.88926608773591
5.72185839619747,4.40151217174461
6.65095732284058,6.71778753693108
5.42851221204689,6.810496046508
7.01334999253647,7.07058732489962
5.63027209871257,5.62807427928112
4.95393019733722,6.3070800041499
7.58097034219065,6.34133638912909
6.27338423133361,7.38516591880129
4.68908934518848,7.03087033588844
4.76208299011075,6.18534714844611
5.75194506313183,7.00360214338947
6.28815928840645,5.13249281071765
6.59647672167538,8.36520275836151
4.91817973465004,4.70407574827499
5.91403484445088,7.64794434053729
4.83132456120342,5.28127806324711
7.52766408232897,6.0614832151924
5.81679923357032,5.02215255965438
6.81400604020029,5.23685212559599
6.26869058201637,7.54871284402442
6.88346172512926,6.79707877810307
6.17389088843971,4.87810963798622
6.44440169017178,5.25206160786932
7.24149140311952,6.03385712399883
5.78902000732768,5.8720903371661
4.36502667824999,4.94520486155343
4.18445963659068,6.78968211070812
4.97013283300721,6.39380648438123
7.81372544168446,5.89072333416033
6.09416120963975,5.20844589734783
5.04888817159614,7.01751458804916
5.12402757827388,8.1002814418724
6.6188573430655,6.19377579051309
5.8892282506553,6.99202896477688
6.91511521260687,5.40732311522679
5.83919091372864,7.61207720567986
5.58037277154971,5.75224560285813
5.70645575941267,6.05062445596276
5.96922484192725,5.72956563459713
5.27354950697701,5.70354637529968
6.06472439637764,5.46372537096001
8.08324490295225,4.85433800929689
6.8460400445682,5.70153223690275
6.06955085883044,6.90605248884895
6.50248170098426,6.22697805439966
6.95808740292956,5.70695825279987
5.37639298568893,5.76906100037801
6.08952115757203,5.93839984961706
6.49674671768939,5.51673200174229
5.3015191790324,6.34154431807206
4.85935676448004,6.01785941895165
6.49527179121536,6.24627610716955
5.39625475860436,5.48451931836032
5.21554785586478,5.52027797201962
6.64813945036076,6.19884173038555
6.02168658246688,5.80710978778139
6.4031316397967,5.41244571501421
5.77692868281901,3.85681974488992
6.79766336499451,6.70387510490574
6.76895068017924,5.22572221332437
5.31674541187581,7.62002717452221
5.6727920725876,5.39050852210492
6.3398491131552,6.56462613391478
5.56526790620159,7.40680304967852
6.45494844448244,6.86303477576491
5.19679488626917,6.39977834250528
5.25417354403167,6.07780069989979
6.34263724238422,6.28477350093305
5.33653328706345,5.59856693158655
5.71154731891648,5.77823612559482
7.22910779871968,6.4637230103333
5.17086460108039,5.24424749600493
6.39077985448715,5.52677016865999
6.29220786920829,4.94071452763064
5.74164280204411,5.41690210890195
5.22047784530267,6.86002802311668
6.20021173191615,6.21081333151353
6.48229756798211,6.01332686755492
7.53066669115967,5.17183202233578
4.63568532158431,5.14589011420939
